nct_id,nct_date,nct_year
NCT01425255,Aug-11,2011
NCT01425359,Sep-11,2011
NCT01425424,Apr-12,2012
NCT01425580,Jan-12,2012
NCT01425645,Jan-12,2012
NCT01425866,Oct-11,2011
NCT01425905,23-Aug-11,2011
NCT01426802,Oct-10,2010
NCT01427257,Feb-12,2012
NCT01427660,Sep-11,2011
NCT01427699,Jun-11,2011
NCT01427920,Sep-11,2011
NCT01429467,Aug-12,2012
NCT01429506,Jan-11,2011
NCT01429818,Jul-07,2007
NCT01430221,May-11,2011
NCT01432405,Jun-07,2007
NCT01434030,Apr-10,2010
NCT01434186,May-12,2012
NCT01435603,Aug-11,2011
NCT01435616,Oct-11,2011
NCT01435642,Sep-11,2011
NCT01435980,Feb-08,2008
NCT01436916,Sep-11,2011
NCT01437072,Nov-10,2010
NCT01438632,Sep-11,2011
NCT01438814,Nov-11,2011
NCT01440140,Dec-12,2012
NCT01440257,Sep-11,2011
NCT01440439,Nov-11,2011
NCT01440517,Aug-11,2011
NCT01440530,Feb-10,2010
NCT01441518,May-10,2010
NCT01441921,Sep-11,2011
NCT01441986,Sep-11,2011
NCT01445951,Sep-11,2011
NCT01447251,Sep-11,2011
NCT01447979,Mar-12,2012
NCT01447992,Sep-11,2011
NCT01449019,Dec-06,2006
NCT01449747,Dec-11,2011
NCT01449773,Apr-08,2008
NCT01451398,Nov-11,2011
NCT01452451,Dec-11,2011
NCT01452893,Mar-11,2011
NCT01453049,Apr-10,2010
NCT01453751,Mar-14,2014
NCT01454284,Jan-12,2012
NCT01455142,Oct-11,2011
NCT01455441,Oct-11,2011
NCT01455727,Aug-11,2011
NCT01455857,Mar-13,2013
NCT01455870,May-13,2013
NCT01455883,Feb-13,2013
NCT01455896,Mar-13,2013
NCT01455909,Feb-13,2013
NCT01455922,Feb-13,2013
NCT01456026,Jun-09,2009
NCT01456130,Nov-11,2011
NCT01456195,Nov-11,2011
NCT01456806,Dec-06,2006
NCT01457911,Oct-11,2011
NCT01459809,Feb-12,2012
NCT01460459,May-11,2011
NCT01461330,Feb-11,2011
NCT01461577,Nov-11,2011
NCT01462266,Jan-12,2012
NCT01464099,Jun-08,2008
NCT01464320,Nov-11,2011
NCT01465152,6-Mar-02,2002
NCT01467063,Oct-11,2011
NCT01467141,19-Jun-02,2002
NCT01467323,Apr-98,1998
NCT01467375,8-Jan-01,2001
NCT01467401,19-Aug-02,2002
NCT01467414,Oct-11,2011
NCT01468116,Mar-11,2011
NCT01468181,Nov-11,2011
NCT01468987,Dec-11,2011
NCT01469065,Dec-11,2011
NCT01469104,Aug-09,2009
NCT01469143,Nov-11,2011
NCT01469559,Aug-11,2011
NCT01470937,Feb-98,1998
NCT01471275,Nov-11,2011
NCT01472185,Nov-11,2011
NCT01472328,Mar-12,2012
NCT01472341,Nov-08,2008
NCT01472367,Dec-11,2011
NCT01472432,May-11,2011
NCT01472588,Sep-07,2007
NCT01472614,Sep-11,2011
NCT01472640,Nov-11,2011
NCT01473017,Nov-11,2011
NCT01473329,Jan-09,2009
NCT01473654,Nov-11,2011
NCT01474018,Nov-11,2011
NCT01474083,Nov-11,2011
NCT01474525,Jan-10,2010
NCT01474538,Dec-11,2011
NCT01474603,Nov-11,2011
NCT01474889,Oct-11,2011
NCT01475461,Nov-11,2011
NCT01475552,Sep-10,2010
NCT01475734,Dec-11,2011
NCT01477476,Mar-12,2012
NCT01477853,Oct-11,2011
NCT01479933,Sep-11,2011
NCT01480297,Nov-11,2011
NCT01480804,Nov-06,2006
NCT01480895,Mar-07,2007
NCT01480934,Jun-05,2005
NCT01481116,Jan-12,2012
NCT01481623,Sep-12,2012
NCT01481675,May-07,2007
NCT01481779,Jan-12,2012
NCT01482481,Jan-08,2008
NCT01483352,Nov-11,2011
NCT01483560,Dec-11,2011
NCT01483781,Dec-11,2011
NCT01484262,Nov-11,2011
NCT01485614,Feb-12,2012
NCT01486290,Jul-07,2007
NCT01486381,20-Mar-02,2002
NCT01486680,Sep-11,2011
NCT01486862,Oct-05,2005
NCT01486875,Jan-06,2006
NCT01486940,Mar-02,2002
NCT01486966,Nov-11,2011
NCT01487798,Jun-02,2002
NCT01488916,Aug-11,2011
NCT01489163,Dec-11,2011
NCT01490372,Aug-11,2011
NCT01490619,Oct-11,2011
NCT01492166,Nov-06,2006
NCT01492283,Dec-11,2011
NCT01492465,Nov-11,2011
NCT01493115,Nov-11,2011
NCT01493388,Mar-12,2012
